player,transfer,season,matches_played,minutes,matches_played_starter,matches_played_sub,matches_no_play,raw_goals,raw_assists,raw_goals_and_assists,raw_nonpenaltykick_goal,total_pass_attempts,Total_Cmp.,Total_Passes_Leading_to_Shot,Cmp_Passes_18_yard_box,Progressive_Passes,tot_carry_distance,Total_Pass_Distance_Towards_Opp_Goal,prog_pass_ratio,prog_carry_dist_ratio,progression_by_carry,aerial_win_loss_ratio,Shot_Creating_Actions,def_action_to_shot,takeon_to_goal,prog_carry_distance,prog_carries,Progressive_Passes_Received,TakeOn_Attempts,TakeOn_Success_Percentage,Tackles_Total,Tackles_Won,tackle_success_rate,Interceptions,Clearances,Aerial_Win_Percentage,aerial_attempts,Forward,Midfielder,Defender
Alfie Mawson,1,2019-2020,27,2193,25,2,6,0,0,0,0,1910,85.8,3,3,112,6008,11614,103.69642857142857,0.6900798934753661,3.4811083123425695,91.95652173913044,11,0,0,4146,7,4,6,100,17,14,0.8235294117647058,23,96,66.2,136,0,0,1
Ben Davies,1,2019-2020,36,3174,36,0,0,0,1,1,0,1610,75.7,7,7,103,5562,10896,105.7864077669903,0.6650485436893204,4.091814159292035,116.36904761904762,10,0,0,3699,13,0,2,50,31,17,0.5483870967741935,30,168,57.8,199,0,0,1
Patrick Roberts,1,2019-2020,10,608,8,2,2,1,2,3,1,190,66.3,19,9,19,1533,661,34.78947368421053,0.5088062622309197,4.35754189944134,0,39,0,1,780,33,42,41,48.8,4,2,0.5,1,1,0,9,1,1,0
Saïd Benrahma,1,2019-2020,43,3545,39,4,0,17,8,25,13,1774,71.9,90,105,252,12155,6708,26.61904761904762,0.525462772521596,3.7263710618436408,6.545454545454545,219,0,2,6387,217,376,238,55.5,46,28,0.6086956521739131,9,6,35.3,17,1,0,0
Joris Gnagnon,1,2019-2020,19,1278,14,5,4,0,1,1,0,657,89.2,4,1,35,3152,3544,101.25714285714285,0.5425126903553299,3.386138613861386,54.766666666666666,6,0,0,1710,10,3,4,100,16,13,0.8125,18,61,63.9,83,0,0,1
Karl Toko Ekambi,1,2019-2020,8,538,5,3,0,2,1,3,2,195,76.4,10,8,15,1048,418,27.866666666666667,0.4303435114503817,2.668639053254438,9.642857142857142,18,0,0,451,25,58,14,57.1,5,2,0.4,5,1,39.1,23,1,1,0
Álvaro González,1,2019-2020,20,1628,19,1,2,0,0,0,0,884,85.6,3,2,43,3115,5026,116.88372093023256,0.6019261637239165,3.0048076923076925,36.59090909090909,14,1,0,1875,9,0,3,100,19,13,0.6842105263157895,18,65,61.4,57,0,0,1
Moses Simon,1,2019-2020,26,2177,25,1,0,5,5,10,5,679,72.3,36,27,58,5292,1910,32.93103448275862,0.5888133030990174,4.764525993883792,9.23076923076923,76,1,1,3116,144,232,81,44.4,15,7,0.4666666666666667,8,6,18.8,48,1,1,0
Álvaro Giménez,1,2019-2020,24,1201,12,12,4,3,0,3,3,326,73.9,12,4,24,1291,526,21.916666666666668,0.30983733539891556,1.3201320132013201,45.833333333333336,31,0,0,400,12,98,21,57.1,16,11,0.6875,6,6,45.5,99,1,0,0
Youssouf Koné,1,2019-2020,11,818,10,1,2,0,0,0,0,654,84.7,8,4,44,2082,2685,61.02272727272727,0.6085494716618636,3.0311004784688995,6.857142857142857,17,0,0,1267,20,26,22,72.7,22,14,0.6363636363636364,8,15,46.2,13,0,0,1
Moussa Dembélé,1,2019-2020,27,2188,24,3,1,16,2,18,12,438,69.4,22,12,27,2419,575,21.296296296296298,0.42579578338156265,2.2787610619469025,68.90666666666667,44,0,0,1030,38,134,60,40,12,7,0.5833333333333334,5,31,47.6,143,1,0,0
Federico Barba,1,2019-2020,14,1157,13,1,2,1,0,1,1,767,83.8,6,7,58,3243,4939,85.15517241379311,0.6000616712920136,3.6103896103896105,21.666666666666668,16,0,0,1946,18,22,3,66.7,16,11,0.6875,16,58,62.5,32,0,0,1
Gabriele Zappa,1,2019-2020,23,1996,22,1,13,5,1,6,5,1251,72.9,24,14,66,4030,4941,74.86363636363636,0.5923076923076923,3.3245125348189415,27.9,54,2,2,2387,64,182,46,54.3,36,23,0.6388888888888888,22,58,47.4,57,0,1,1
Emmanuel Rivière,1,2019-2020,31,2263,28,3,0,13,3,16,11,590,69,30,9,43,1946,945,21.976744186046513,0.3489208633093525,1.4665226781857452,84.6829268292683,71,1,0,679,20,152,26,65.4,6,4,0.6666666666666666,1,21,40.6,207,1,0,0
Victor Osimhen,1,2019-2020,27,2287,25,2,0,13,4,17,11,374,58.6,21,4,11,1774,511,46.45454545454545,0.41882750845546785,2.3146417445482865,109.76760563380282,47,0,1,743,35,148,38,39.5,8,4,0.5,11,32,43.4,251,1,0,0
Wylan Cyprien,1,2019-2020,20,1772,20,0,0,7,3,10,2,1351,83.3,37,8,156,3224,5937,38.05769230769231,0.6339950372208437,2.8627450980392157,15.4,85,1,0,2044,24,28,23,60.9,17,11,0.6470588235294118,19,16,58.3,24,0,1,0
Keita Baldé,1,2019-2020,21,858,9,12,4,4,1,5,4,285,67,6,6,23,1183,495,21.52173913043478,0.43956043956043955,2.3963133640552994,25.714285714285715,30,0,0,520,27,78,8,62.5,6,5,0.8333333333333334,2,7,41.7,60,1,1,0
M'Bala Nzola,1,2019-2020,29,2086,22,7,4,7,1,8,7,566,80.9,35,10,51,3338,900,17.647058823529413,0.3097663271420012,1.8597122302158273,48.62337662337662,80,1,1,1034,38,150,65,49.2,11,8,0.7272727272727273,4,13,38.4,125,1,0,0
Jean-Victor Makengo,1,2019-2020,19,988,12,7,7,2,0,2,2,442,82.4,11,6,63,2436,1436,22.793650793650794,0.5385878489326765,3.4166666666666665,3.1875,21,0,0,1312,37,43,29,44.8,14,11,0.7857142857142857,3,5,15.8,19,0,1,0
Fernando Forestieri,1,2019-2020,17,829,8,9,4,2,1,3,1,312,73.1,20,14,34,1402,1056,31.058823529411764,0.4472182596291013,2.348314606741573,8.533333333333333,40,2,0,627,15,46,29,58.6,24,18,0.75,4,4,34.8,23,1,1,0
Adama Soumaoro,1,2019-2020,6,415,4,2,7,1,0,1,1,350,96.3,0,0,10,1014,1993,199.3,0.4151873767258383,1.7991452991452992,12.5,4,0,0,421,2,0,1,100,1,1,1,4,17,71.4,14,0,0,1
Youssef Maleh,1,2019-2020,28,1996,25,3,5,1,2,3,1,781,71.4,18,20,75,3245,2905,38.733333333333334,0.5269645608628659,2.923076923076923,22.666666666666668,56,0,0,1710,43,135,35,60,58,39,0.6724137931034483,27,28,40,55,0,1,0
Kevin Strootman,1,2019-2020,25,1416,15,10,0,2,3,5,1,966,85.2,12,7,93,2884,4225,45.43010752688172,0.5284327323162274,2.323170731707317,28.933333333333334,28,0,0,1524,21,20,5,60,39,27,0.6923076923076923,17,24,48.3,58,0,1,0
Bouna Sarr,1,2019-2020,27,2164,25,2,0,1,3,4,1,1357,80.5,14,25,93,6562,4019,43.215053763440864,0.5092959463578177,3.161778618732261,42.108108108108105,48,2,0,3342,103,142,86,57,60,37,0.6166666666666667,32,38,52.6,78,1,0,1
Tanguy Nianzou,1,2019-2020,6,452,4,2,8,2,0,2,2,339,91.4,3,0,27,959,1789,66.25925925925925,0.6068821689259646,2.5866666666666664,16.25,7,0,0,582,0,2,4,75,2,1,0.5,3,6,76.5,17,0,1,1
Eric Maxim Choupo-Moting,1,2019-2020,9,451,5,4,7,3,1,4,3,108,78.7,6,5,14,534,159,11.357142857142858,0.44569288389513106,2.6741573033707864,2.25,14,0,1,238,8,45,13,69.2,12,9,0.75,1,3,20,10,1,1,0
Jude Bellingham,1,2019-2020,41,2694,32,9,1,4,2,6,4,1081,69.9,31,25,102,4880,3751,36.77450980392157,0.489344262295082,2.9962358845671266,43.6231884057971,87,3,0,2388,63,113,76,60.5,90,57,0.6333333333333333,30,41,38.4,112,1,1,0
Thomas Meunier,1,2019-2020,16,1242,14,2,5,0,1,1,0,930,82.6,18,22,62,2796,2822,45.516129032258064,0.5575822603719599,3.0389863547758287,18.7,29,0,0,1559,49,149,16,56.3,27,21,0.7777777777777778,18,19,63,27,0,0,1
Benjamin Henrichs,1,2019-2020,13,890,10,3,3,0,0,0,0,526,80,6,6,54,1853,2628,48.666666666666664,0.5580140313005937,2.8484848484848486,8,18,2,0,1034,22,49,14,57.1,26,20,0.7692307692307693,14,18,50,14,0,1,1
Baptiste Santamaria,1,2019-2020,28,2505,28,0,0,1,1,2,1,1337,80.7,13,9,165,3647,6391,38.733333333333334,0.5426377844803948,2.8150782361308675,54.35897435897436,53,3,0,1979,36,16,42,73.8,91,53,0.5824175824175825,43,36,57.6,92,0,1,0
Lucas Tousart,1,2019-2020,24,1763,19,5,2,2,2,4,2,947,84.1,10,5,83,3517,3346,40.31325301204819,0.46971851009383,2.4730538922155687,47.15,30,3,0,1652,15,32,24,62.5,58,32,0.5517241379310345,31,27,53.5,86,0,1,0
