,,,,,,,,,Playing Time,,,,,,Performance,,,,,,,
Rk,Player,Gls,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos
530,Aritz Elustondo,0,"1,449",2022-2023,28,es ESP,Real Sociedad,es La Liga,25,"1,449",16.1,16,9,4,0,1,1,0,0,0,0,DF
531,Héctor Bellerín,0,143,2022-2023,27,es ESP,Barcelona,es La Liga,3,143,1.6,1,2,8,0,0,0,0,0,0,0,DF
532,Pedro Ortiz,0,1,2022-2023,21,es ESP,Sevilla,es La Liga,1,1,0,0,1,1,0,0,0,0,0,0,0,MF
533,Curro,0,43,2022-2023,26,es ESP,Almería,es La Liga,2,43,0.5,0,2,1,0,0,0,0,0,0,0,MF
534,Aïssa Mandi,0,"1,461",2022-2023,30,dz ALG,Villarreal,es La Liga,21,"1,461",16.2,16,5,17,0,0,0,0,0,0,0,DF
535,José Pozo,0,88,2022-2023,26,es ESP,Rayo Vallecano,es La Liga,8,88,1,1,7,23,0,0,0,0,0,0,0,"MF,FW"
536,Rodrigo Ely,0,"3,155",2022-2023,28,br BRA,Almería,es La Liga,36,"3,155",35.1,36,0,0,0,1,1,0,0,0,0,DF
537,Fabrizio Angileri,0,585,2022-2023,28,ar ARG,Getafe,es La Liga,15,585,6.5,7,8,15,0,0,0,0,0,0,0,DF
538,Cala,0,137,2022-2023,32,es ESP,Cádiz,es La Liga,3,137,1.5,1,2,9,0,0,0,0,0,0,0,DF
539,Thomas Delaney,0,309,2022-2023,30,dk DEN,Sevilla,es La Liga,8,309,3.4,2,6,6,0,0,0,0,0,0,0,MF
540,Manu Sánchez,0,"2,124",2022-2023,21,es ESP,Osasuna,es La Liga,31,"2,124",23.6,22,9,7,0,2,2,0,0,0,0,DF
